steps,num_customers,num_products,num_retailers,num_customers_willing_to_share_info,learning_rate_gen_ai,learning_rate_customer,capacity_gen_ai,creativity_gen_ai,total_steps,LowSatisfaction,MediumSatisfaction,HighSatisfaction,Sales,Sales (Willing),Sales (Unwilling),Sold Products,Sold Products (Willing),Sold Products (Unwilling),Average Seller Rating,Average Satisfaction,Willing to Share Customers,Unwilling to Share Customers,Number of Products,mean_viewed_comments,mean_purchase_position,AIC Linear (Sum),AIC Quadratic (Sum),AIC Cubic (Sum),AIC Quartic (Sum),AIC Quartic (Minimum)
23,100,100,20,0,0.3,0.3,0.9,0.4235440657079567,1000,61,9,30,278.78929773591153,0,278.78929773591153,182,0,182,1.3327234732116624,0.7601744426728619,0,100,100,2.72,57.44466666666666,9.255381784198278,-8.129900738573014,-9.227997116780756,-3.210301269563672,-79.07396863896179
24,100,100,20,0,0.3,0.3,0.9,0.43220556464096865,1000,60,11,29,292.35952988209203,0,292.35952988209203,191,0,191,1.3312234732116623,0.7827744426728619,0,100,100,2.78,56.42633333333333,6.069047183334959,1.7406130776257385,-10.638787794329915,-5.943410785320481,-79.07396863896179
25,100,100,20,0,0.3,0.3,0.9,0.4395702851675379,1000,61,9,30,278.50256852375765,0,278.50256852375765,176,0,176,1.3362234732116625,0.8024744426728619,0,100,100,2.79,56.19833333333334,11.503750636715665,14.296158438769055,-3.0259834839795587,-0.8742864858554071,-79.07396863896179
26,100,100,20,0,0.3,0.3,0.9,0.44673380204585783,1000,61,10,29,291.6070665359752,0,291.6070665359752,188,0,188,1.3442234732116627,0.8221049858115692,0,100,100,2.74,57.471333333333334,11.232704078251288,-10.745298871350087,-16.838425012592523,-18.898309224806127,-79.07396863896179
27,100,100,20,0,0.3,0.3,0.9,0.4513685049108217,1000,61,11,28,316.8710762953322,0,316.8710762953322,195,0,195,1.3547234732116629,0.8350049858115692,0,100,100,2.74,56.355999999999995,18.02605540931694,7.294676653145132,1.987387826003328,5.809643438135765,-79.07396863896179
28,100,100,20,0,0.3,0.3,0.9,0.4599877407211211,1000,61,10,29,308.2306476529612,0,308.2306476529612,185,0,185,1.3737234732116628,0.8597049858115693,0,100,100,2.67,55.44349999999999,7.516266282749115,3.3877096559338042,-15.342995458946803,-11.98845771328493,-79.07396863896179
29,100,100,20,0,0.3,0.3,0.9,0.47013603180061414,1000,61,10,29,325.37129617345477,0,325.37129617345477,193,0,193,1.390723473211663,0.8898049858115692,0,100,100,2.75,53.71566666666668,20.432985391262633,18.032061069455523,14.617263527112613,5.7897676108295855,-79.07396863896179
30,100,100,20,0,0.3,0.3,0.9,0.4776503171995655,1000,61,10,29,306.9386839806027,0,306.9386839806027,200,0,200,1.4007234732116631,0.9126650718910486,0,100,100,2.71,54.887833333333326,18.51763719422169,17.96902669094075,14.619781497952886,18.82962517339371,-79.07396863896179
31,100,100,20,0,0.3,0.3,0.9,0.4837683956506879,1000,62,9,29,296.2328651410788,0,296.2328651410788,181,0,181,1.4062234732116632,0.9316650718910486,0,100,100,2.7,58.22216666666666,13.57217528086619,1.2633686256873489,-2.30028870255083,3.5347487565098277,-79.07396863896179
32,100,100,20,0,0.3,0.3,0.9,0.48858428773010826,1000,62,9,29,282.8588053934042,0,282.8588053934042,191,0,191,1.4037234732116635,0.9468650718910483,0,100,100,2.8,55.887,18.13129183075705,19.050347709459913,11.771777796374096,6.1201653926161725,-79.07396863896179
33,100,100,20,0,0.3,0.3,0.9,0.49244256983982787,1000,63,8,29,273.98557694765276,0,273.98557694765276,174,0,174,1.4037234732116635,0.9592013026430734,0,100,100,2.78,58.39933333333333,6.056791831672314,10.393947047186003,3.88154559145633,6.04965627147098,-79.07396863896179
34,100,100,20,0,0.3,0.3,0.9,0.4987200505451351,1000,61,10,29,291.3878166987136,0,291.3878166987136,186,0,186,1.4097234732116637,0.9797014933819598,0,100,100,2.69,56.39533333333334,12.123006399189933,9.372862374434874,9.524769999602853,13.615254389368744,-79.07396863896179
35,100,100,20,0,0.3,0.3,0.9,0.5039847839363727,1000,62,9,29,278.20522539749845,0,278.20522539749845,183,0,183,1.4197234732116637,0.9972014933819598,0,100,100,2.82,56.69333333333334,9.626932073140523,12.603655590191948,11.4157591609615,11.514949885737138,-79.07396863896179
36,100,100,20,0,0.3,0.3,0.9,0.5082889532216119,1000,62,9,29,289.7256969604073,0,289.7256969604073,187,0,187,1.432723473211664,1.011716828375471,0,100,100,2.71,56.06933333333333,15.784414554540263,17.39991026229589,1.3990747196726545,4.729434642459182,-79.07396863896179
37,100,100,20,0,0.3,0.3,0.9,0.5143324382559603,1000,61,10,29,307.2542387334606,0,307.2542387334606,198,0,198,1.4382234732116643,1.0325168283754709,0,100,100,2.7,56.030166666666666,14.430833816308564,3.5946915391662344,-4.6165660772163335,0.10264284865093032,-79.07396863896179
38,100,100,20,0,0.3,0.3,0.9,0.5185718430661428,1000,62,9,29,266.2812177736536,0,266.2812177736536,176,0,176,1.4347234732116643,1.047316828375471,0,100,100,2.72,57.8065,17.11693557107745,16.75072785264132,15.086714182849619,19.115226978002823,-79.07396863896179
39,100,100,20,0,0.3,0.3,0.9,0.5222772804448097,1000,63,8,29,291.3149251928486,0,291.3149251928486,188,0,188,1.4347234732116645,1.0604144933776096,0,100,100,2.77,57.053666666666665,11.647540430918013,-0.2709832288247469,-10.22209840614778,-5.978130428166168,-79.07396863896179
40,100,100,20,0,0.3,0.3,0.9,0.5248576493693972,1000,62,9,29,269.1625544512502,0,269.1625544512502,172,0,172,1.4442234732116648,1.0696144933776095,0,100,100,2.73,56.008,19.119041924361,21.94609734647736,-5.228114359537415,-5.674990665767638,-79.07396863896179
41,100,100,20,0,0.3,0.3,0.9,0.5263845114581284,1000,63,7,30,280.89875372688687,0,280.89875372688687,176,0,176,1.4477234732116648,1.0750861878521094,0,100,100,2.8,57.1835,18.246150491715326,23.151676400732157,20.237546224376416,24.7264817726836,-79.07396863896179
42,100,100,20,0,0.3,0.3,0.9,0.5295454773931674,1000,64,7,29,273.4279138801071,0,273.4279138801071,178,0,178,1.4537100460947425,1.086534516498428,0,100,100,2.79,57.43816666666667,14.15174709962102,9.104433329513029,1.7736265258569404,0.4197539394884018,-79.07396863896179
43,100,100,20,0,0.3,0.3,0.9,0.5305479177006954,1000,64,7,29,251.6507868144038,0,251.6507868144038,163,0,163,1.4577100460947428,1.0901773087539193,0,100,100,2.76,60.19516666666667,22.62116707448004,7.729539146635062,-11.40382367499754,-11.49252047946888,-79.07396863896179
44,100,100,20,0,0.3,0.3,0.9,0.5326519779463906,1000,64,7,29,286.63744699755125,0,286.63744699755125,172,0,172,1.4637100460947425,1.0978773087539193,0,100,100,2.79,57.34466666666666,14.626068160769421,19.101162507694653,5.4674436325159945,10.045682413346526,-79.07396863896179
45,100,100,20,0,0.3,0.3,0.9,0.5353001802353748,1000,65,6,29,290.521498612316,0,290.521498612316,174,0,174,1.4667100460947426,1.1076549567266132,0,100,100,2.78,56.324666666666666,30.73226907273923,15.663515690429193,7.8826098422757696,1.4838220104260529,-79.07396863896179
46,100,100,20,0,0.3,0.3,0.9,0.5362989610418863,1000,65,6,29,272.18528545969264,0,272.18528545969264,176,0,176,1.4617100460947425,1.111354956726613,0,100,100,2.83,58.346000000000004,27.792886718752925,26.37331262654098,14.167318368667736,7.030074874006658,-79.07396863896179
47,100,100,20,0,0.3,0.3,0.9,0.5386292038432109,1000,66,4,30,268.8693049278182,0,268.8693049278182,166,0,166,1.4622100460947427,1.1200549567266131,0,100,100,2.81,56.73700000000001,21.394748567459885,21.97856970232465,22.19679793784499,22.356752303878466,-79.07396863896179
48,100,100,20,0,0.3,0.3,0.9,0.5417089204974604,1000,67,3,30,243.462183974817,0,243.462183974817,164,0,164,1.4593984737768657,1.1316723910932946,0,100,100,2.75,58.72933333333332,27.609341733019704,16.0034872367261,7.713885385021655,-2.227558894587247,-79.07396863896179
49,100,100,20,0,0.3,0.3,0.9,0.5436377115114728,1000,67,3,30,249.86403008265924,0,249.86403008265924,174,0,174,1.4623984737768663,1.138995337667612,0,100,100,2.76,58.36233333333334,32.118987843989686,36.44819799663216,31.89465307062838,27.03605015599564,-79.07396863896179
50,100,100,20,0,0.3,0.3,0.9,0.5458216458979477,1000,66,4,30,287.8066809784827,0,287.8066809784827,173,0,173,1.4693984737768662,1.1473477785570665,0,100,100,2.78,55.60016666666667,35.92873641348706,27.11881037482061,22.216625292111814,24.821997347068702,-79.07396863896179
51,100,100,20,0,0.3,0.3,0.9,0.5461681656987581,1000,66,4,30,247.46492335428783,0,247.46492335428783,166,0,166,1.465898473776866,1.1486745735050898,0,100,100,2.77,61.15583333333334,20.87645024144149,25.47643848748399,23.52922926075334,14.716977496330571,-79.07396863896179
52,100,100,20,0,0.3,0.3,0.9,0.5489087006337257,1000,67,3,30,296.8220491323668,0,296.8220491323668,180,0,180,1.467898473776866,1.1592645905358712,0,100,100,2.77,56.21633333333334,39.07108504418579,41.46561255723563,32.978653686420415,35.4528801545743,-79.07396863896179
53,100,100,20,0,0.3,0.3,0.9,0.5521388749626694,1000,66,4,30,283.6244579493342,0,283.6244579493342,175,0,175,1.469898473776866,1.1718825401954605,0,100,100,2.78,56.966499999999996,31.15616547351121,29.418488362030217,15.342763070444335,18.226848911418756,-79.07396863896179
54,100,100,20,0,0.3,0.3,0.9,0.5517916018471422,1000,66,4,30,276.43769670026643,0,276.43769670026643,170,0,170,1.4663984737768663,1.1705275643485207,0,100,100,2.77,59.547333333333334,28.844785511313376,32.122196723632015,22.696885467715816,26.23627167415495,-79.07396863896179
55,100,100,20,0,0.3,0.3,0.9,0.5536512705039786,1000,67,2,31,288.1125545192554,0,288.1125545192554,190,0,190,1.4703984737768665,1.177828802036073,0,100,100,2.71,56.38283333333334,34.54878515263684,36.82699222433098,35.190444439937636,34.906445866015304,-79.07396863896179
56,100,100,20,0,0.3,0.3,0.9,0.555775649878071,1000,67,3,30,277.9994530933378,0,277.9994530933378,171,0,171,1.4708984737768662,1.1862288020360727,0,100,100,2.72,55.95433333333333,34.7259844503005,17.211552188814977,17.852955924579277,19.732372850345314,-79.07396863896179
57,100,100,20,0,0.3,0.3,0.9,0.557210299327836,1000,66,5,29,274.05597124888715,0,274.05597124888715,165,0,165,1.4728984737768662,1.1919288020360728,0,100,100,2.8,56.988166666666665,25.89345283792261,25.432407526724433,23.530276278415954,25.952239922856478,-79.07396863896179
58,100,100,20,0,0.3,0.3,0.9,0.5584135794674548,1000,66,4,30,258.56869732631225,0,258.56869732631225,175,0,175,1.4733984737768664,1.1967288020360727,0,100,100,2.81,57.59033333333334,27.505866175445448,33.48022820313889,25.34126915606103,20.94635447286916,-79.07396863896179
59,100,100,20,0,0.3,0.3,0.9,0.5590639432364861,1000,66,5,29,282.49107028220396,0,282.49107028220396,171,0,171,1.4768984737768664,1.1993288020360726,0,100,100,2.79,58.34383333333334,20.970163075093325,23.385914775663537,16.83940745442996,19.62743762013048,-79.07396863896179
60,100,100,20,0,0.3,0.3,0.9,0.5595384573332459,1000,68,2,30,293.36802737077437,0,293.36802737077437,185,0,185,1.4788984737768665,1.2012288020360726,0,100,100,2.75,58.24283333333334,31.272885395150894,31.39045210522633,31.756323953270538,29.266972941813464,-79.07396863896179
61,100,100,20,0,0.3,0.3,0.9,0.560410022782852,1000,68,3,29,254.9705068933188,0,254.9705068933188,168,0,168,1.4768984737768664,1.2047288020360727,0,100,100,2.81,58.232000000000006,23.633316471115933,30.536395525130075,28.644357794091604,26.857250041590447,-79.07396863896179
62,100,100,20,0,0.3,0.3,0.9,0.5609816744276479,1000,68,3,29,238.5826792043936,0,238.5826792043936,162,0,162,1.4768984737768667,1.2070288020360724,0,100,100,2.81,59.61299999999999,21.69655591665557,25.71717328283424,25.673317264800517,27.33365137586776,-79.07396863896179
63,100,100,20,0,0.3,0.3,0.9,0.5636665604362007,1000,68,3,29,275.29823242208283,0,275.29823242208283,172,0,172,1.4773984737768666,1.2179288020360728,0,100,100,2.75,56.905166666666666,29.228360673727565,28.36808732647654,24.746438054127253,27.959287107365782,-79.07396863896179
64,100,100,20,0,0.3,0.3,0.9,0.5639864347693436,1000,66,5,29,278.2005190418622,0,278.2005190418622,176,0,176,1.4793984737768668,1.2192288020360726,0,100,100,2.72,57.578833333333336,27.777285563598923,35.33257955890076,30.921102742735485,30.031244372271857,-79.07396863896179
65,100,100,20,0,0.3,0.3,0.9,0.5662803861981572,1000,67,4,29,291.03321071550107,0,291.03321071550107,186,0,186,1.476898473776867,1.2286234773068794,0,100,100,2.67,56.48683333333334,33.16095849649324,23.355535077623017,19.48062555981076,18.992830988964243,-79.07396863896179
66,100,100,20,0,0.3,0.3,0.9,0.5665487392109197,1000,66,5,29,259.5417740296665,0,259.5417740296665,167,0,167,1.476898473776867,1.2297234773068795,0,100,100,2.77,57.62133333333333,26.543337039747286,30.290048656094967,20.29774248046499,13.203898296211463,-79.07396863896179
67,100,100,20,0,0.3,0.3,0.9,0.5668412025578596,1000,66,5,29,262.3707573651813,0,262.3707573651813,166,0,166,1.4778984737768672,1.2309234773068796,0,100,100,2.74,60.64366666666667,29.00885391909037,18.29232884568512,14.360420456542386,10.106129867868816,-79.07396863896179
68,100,100,20,0,0.3,0.3,0.9,0.5689791069363269,1000,67,4,29,323.48225276652977,0,323.48225276652977,193,0,193,1.4768984737768673,1.2397584272060984,0,100,100,2.74,55.28616666666667,35.006898712869855,29.69126167888581,18.909919088483207,17.50356561677367,-79.07396863896179
69,100,100,20,0,0.3,0.3,0.9,0.5706874003187383,1000,65,6,29,305.3460438730872,0,305.3460438730872,177,0,177,1.489898473776867,1.2468584272060985,0,100,100,2.76,55.8275,34.08577695603162,22.75522214350036,13.238684704787062,5.706245047628755,-79.07396863896179
70,100,100,20,0,0.3,0.3,0.9,0.5733345466218128,1000,65,6,29,283.0405028968947,0,283.0405028968947,184,0,184,1.491398473776867,1.2579584272060984,0,100,100,2.74,55.3065,33.43822138765225,35.06292562413944,27.92045566043808,26.59599566126232,-79.07396863896179
71,100,100,20,0,0.3,0.3,0.9,0.5734824796607169,1000,65,6,29,299.11304540750257,0,299.11304540750257,178,0,178,1.5023984737768672,1.2585790452823302,0,100,100,2.79,56.46083333333333,30.060331708896996,30.662360149482083,26.266243293068328,25.483579095150475,-79.07396863896179
72,100,100,20,0,0.3,0.3,0.9,0.5750002913645238,1000,65,6,29,254.28175727575888,0,254.28175727575888,172,0,172,1.498398473776867,1.2649790452823302,0,100,100,2.77,58.733000000000004,26.088354966700678,18.474506117462198,19.001401215768766,17.305492561148185,-79.07396863896179
73,100,100,20,0,0.3,0.3,0.9,0.5762166590512652,1000,66,5,29,311.20420755741947,0,311.20420755741947,186,0,186,1.5088984737768674,1.2701288576170071,0,100,100,2.74,55.99283333333334,30.664273102771574,18.95138718984697,17.777423599897787,15.900339415845849,-79.07396863896179
74,100,100,20,0,0.3,0.3,0.9,0.5769050035170759,1000,65,5,30,272.3681950244455,0,272.3681950244455,175,0,175,1.505398473776867,1.2730498470066343,0,100,100,2.8,58.294000000000004,33.435221396848846,37.000790065166825,32.21064826530565,30.046042562369877,-79.07396863896179
75,100,100,20,0,0.3,0.3,0.9,0.5785222543842414,1000,66,4,30,279.5606752416792,0,279.5606752416792,179,0,179,1.5048984737768671,1.2799498470066342,0,100,100,2.71,55.50450000000001,36.876302648494544,38.67933976708926,35.970420960145645,33.02104760953475,-79.07396863896179
76,100,100,20,0,0.3,0.3,0.9,0.5800844509715073,1000,65,4,31,278.5092842184866,0,278.5092842184866,182,0,182,1.5058984737768673,1.286649847006634,0,100,100,2.72,57.00716666666667,30.20484316256156,23.359282543880028,8.83426940104576,7.783612002649392,-79.07396863896179
77,100,100,20,0,0.3,0.3,0.9,0.5802449438316556,1000,65,4,31,272.9847781138492,0,272.9847781138492,174,0,174,1.5128984737768671,1.2873385424888446,0,100,100,2.78,58.19200000000001,37.114160272644284,36.130943849618916,31.49924745926458,26.294406828970608,-79.07396863896179
78,100,100,20,0,0.3,0.3,0.9,0.5811742121532586,1000,66,3,31,261.3290693025183,0,261.3290693025183,176,0,176,1.5083984737768674,1.2913385424888444,0,100,100,2.74,57.533166666666666,28.34415367495461,15.421416062219294,0.024112674172954485,-3.879868497780734,-79.07396863896179
79,100,100,20,0,0.3,0.3,0.9,0.5815222834593118,1000,66,4,30,307.87654643435474,0,307.87654643435474,180,0,180,1.5088984737768674,1.2928385424888444,0,100,100,2.69,58.06966666666666,31.3278449223005,30.126938641494007,27.708632930475687,24.23215355199349,-79.07396863896179
80,100,100,20,0,0.3,0.3,0.9,0.5808478327228284,1000,67,3,30,262.94053285165046,0,262.94053285165046,172,0,172,1.5088984737768674,1.2899385424888445,0,100,100,2.79,58.645,27.530190219897634,26.22456579619501,-4.465016812289093,-4.977759891666864,-79.07396863896179
81,100,100,20,0,0.3,0.3,0.9,0.5808478327228284,1000,67,4,29,265.8244546051523,0,265.8244546051523,173,0,173,1.5133984737768675,1.2899385424888445,0,100,100,2.83,56.90033333333333,34.600291532677886,32.095375296038355,25.657584160708808,24.418902535253352,-79.07396863896179
82,100,100,20,0,0.3,0.3,0.9,0.5814281311086654,1000,67,4,29,256.00233818660655,0,256.00233818660655,176,0,176,1.5123984737768676,1.2924385424888443,0,100,100,2.78,57.88366666666667,31.701520135832567,36.19479815279618,28.324570435639487,22.477609897830945,-79.07396863896179
83,100,100,20,0,0.3,0.3,0.9,0.5816600710038713,1000,66,4,30,306.7973957247938,0,306.7973957247938,169,0,169,1.5153984737768678,1.2934385424888444,0,100,100,2.77,58.9855,28.25233178936682,31.683665668572388,22.561265933600424,20.61617368314566,-79.07396863896179
84,100,100,20,0,0.3,0.3,0.9,0.582584970304071,1000,66,3,31,280.48017613856393,0,280.48017613856393,177,0,177,1.5173984737768678,1.2974385424888444,0,100,100,2.8,57.72666666666667,36.686667083505455,36.204645084393036,25.154978981951047,23.75155784512569,-79.07396863896179
85,100,100,20,0,0.3,0.3,0.9,0.5822751966046328,1000,66,4,30,246.29698580311094,0,246.29698580311094,169,0,169,1.5188984737768678,1.2961002166256883,0,100,100,2.75,59.84583333333334,29.71683485278524,36.939992315622135,22.944834657206542,21.69767614690099,-79.07396863896179
86,100,100,20,0,0.3,0.3,0.9,0.5823214821789392,1000,66,4,30,309.5537910269805,0,309.5537910269805,183,0,183,1.5268984737768676,1.2963002166256885,0,100,100,2.74,56.220333333333336,46.309593261313864,48.23654622347894,41.55244143165194,39.45878248710832,-79.07396863896179
87,100,100,20,0,0.3,0.3,0.9,0.5844584303537876,1000,66,3,31,290.4191778876534,0,290.4191778876534,199,0,199,1.5228984737768676,1.3056002166256884,0,100,100,2.7,55.18900000000001,41.54762904540493,38.707893951859035,25.384041211363808,22.041481283120362,-79.07396863896179
88,100,100,20,0,0.3,0.3,0.9,0.5867840113662663,1000,66,3,31,290.48254302714747,0,290.48254302714747,176,0,176,1.5248984737768678,1.3158002166256884,0,100,100,2.83,56.07866666666667,42.46781242693848,41.33305240355614,26.18753261239692,27.077905488547657,-79.07396863896179
89,100,100,20,0,0.3,0.3,0.9,0.5871483653370205,1000,66,3,31,268.1511328045351,0,268.1511328045351,174,0,174,1.531398473776868,1.3174002166256884,0,100,100,2.73,57.42366666666667,41.47417615517196,32.56241049893043,31.833056360961564,31.62350801666932,-79.07396863896179
90,100,100,20,0,0.3,0.3,0.9,0.5871255914851519,1000,66,4,30,305.1131398467888,0,305.1131398467888,189,0,189,1.5418984737768677,1.3173002166256884,0,100,100,2.71,57.14966666666667,37.63575087475539,39.69545353887935,29.145904415825726,31.11999807036068,-79.07396863896179
91,100,100,20,0,0.3,0.3,0.9,0.5871711322746279,1000,66,4,30,261.8946803728222,0,261.8946803728222,175,0,175,1.5488984737768678,1.3175002166256886,0,100,100,2.77,59.6215,36.74898939572458,34.83081130740334,26.45171368229927,27.792087795939324,-79.07396863896179
92,100,100,20,0,0.3,0.3,0.9,0.5869432553656753,1000,66,4,30,310.1277693323338,0,310.1277693323338,173,0,173,1.554398473776868,1.3165002166256883,0,100,100,2.75,56.209833333333336,40.79238915819272,48.590204583204354,15.347762892161057,19.369138514592322,-79.07396863896179
93,100,100,20,0,0.3,0.3,0.9,0.5883268934272725,1000,66,4,30,276.92858603439396,0,276.92858603439396,181,0,181,1.5567559812040705,1.3226002166256883,0,100,100,2.75,56.635333333333335,40.06586992699468,24.70553373997373,17.022464443989804,13.663070420387726,-79.07396863896179
94,100,100,20,0,0.3,0.3,0.9,0.5882815213838883,1000,66,4,30,285.18671802966264,0,285.18671802966264,185,0,185,1.5542559812040708,1.3224002166256883,0,100,100,2.75,59.171499999999995,30.626665322062223,20.678176853067924,11.06044338465523,12.542760704527012,-79.07396863896179
